                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.99389,                 1.3387,                 1.3893,                0.56497,                0.46351,                0.50522,                0.41497,                0.84976,                 1.6532,                 1.2766,               0.005776,               0.005776,               0.005776
                     66,                0.98697,                 1.3093,                 1.3824,                0.58616,                0.46692,                0.50577,                 0.4143,                0.85099,                 1.6467,                 1.2761,                0.00571,                0.00571,                0.00571
                     67,                0.98704,                 1.2908,                 1.3761,                0.52908,                0.49002,                0.49807,                0.40708,                0.86549,                 1.6798,                 1.2825,               0.005644,               0.005644,               0.005644
                     68,                0.99055,                 1.2827,                 1.3739,                0.59375,                0.46195,                0.51065,                 0.4184,                0.86072,                  1.673,                 1.2828,               0.005578,               0.005578,               0.005578
                     69,                0.98094,                 1.2664,                 1.3727,                0.58288,                0.47201,                0.51228,                0.42131,                0.85359,                 1.6729,                 1.2777,               0.005512,               0.005512,               0.005512
                     70,                0.98419,                 1.2668,                 1.3716,                0.58787,                0.46443,                0.51275,                0.42269,                0.85347,                 1.6152,                 1.2759,               0.005446,               0.005446,               0.005446
                     71,                0.98125,                 1.2613,                 1.3696,                0.60824,                0.46282,                0.51012,                0.42167,                0.85158,                 1.6433,                  1.276,                0.00538,                0.00538,                0.00538
                     72,                0.97487,                 1.2486,                 1.3704,                0.54816,                0.48002,                0.50788,                0.41652,                0.84839,                 1.6377,                 1.2743,               0.005314,               0.005314,               0.005314
                     73,                0.96329,                 1.2305,                 1.3609,                0.57419,                0.48264,                0.50692,                0.41743,                0.84556,                 1.6756,                 1.2692,               0.005248,               0.005248,               0.005248
                     74,                0.97316,                 1.2356,                 1.3631,                0.58345,                0.46963,                0.50722,                 0.4186,                0.84546,                 1.6868,                 1.2704,               0.005182,               0.005182,               0.005182
                     75,                0.96327,                 1.1969,                 1.3567,                0.59354,                 0.4656,                0.51316,                0.42452,                0.84456,                  1.655,                 1.2687,               0.005116,               0.005116,               0.005116
                     76,                0.95731,                 1.2045,                 1.3528,                 0.5732,                0.48541,                0.51921,                0.42834,                0.84328,                 1.6361,                 1.2715,                0.00505,                0.00505,                0.00505
                     77,                0.94674,                 1.2013,                 1.3482,                0.54936,                  0.508,                0.51924,                0.43121,                0.84126,                 1.6346,                  1.269,               0.004984,               0.004984,               0.004984
                     78,                  0.956,                  1.189,                 1.3433,                0.64296,                0.44959,                0.51959,                0.43082,                 0.8391,                 1.6322,                 1.2652,               0.004918,               0.004918,               0.004918
                     79,                0.95171,                 1.1699,                 1.3431,                 0.6085,                0.44491,                0.50819,                0.42155,                0.84642,                 1.6642,                 1.2753,               0.004852,               0.004852,               0.004852
